id,vessel_dice,vessel_haus95
7,0.08224224805648205,58.91995334045883
1,0.5393808210176351,34.94906321131003
11,0.10556447115329896,110.5499616708262
8,0.37498268426386133,110.3978887307731
3,0.7960854822488136,34.730290209180744
6,0.8198102822187385,20.284524379962402
9,0.00010246544993110136,92.76768752740433
10,0.8631621893733836,24.176863980945193
5,0.8454378786845771,13.546258016965682
12,0.10060801389746052,33.88487229299382
2,0.8752836509268546,33.67351812261241
4,0.8516863970938108,212.83411068974752
Mean,0.5211955486987373,65.05958268109835
Std,0.3484467996224554,55.438377170703376
25th Percentile,0.10432535683933936,31.2993545871956
Median,0.6677331516332243,34.839676710245385
75th Percentile,0.8470000082868855,97.17523782824652
